customer_id,timestamp,age,gender,employment_status,annual_income,credit_score,loan_amount,loan_tenure_months,interest_rate,monthly_installment,payment_status,days_late,outstanding_balance,default_flag,fraud_flag
0,524,44,1,0,1089592,688,913241,12,10.99,58362.4525,1,0,223270,0,1
1,538,59,1,0,962591,496,534111,36,13.77,16879.39,0,9,492575,0,1
2,618,28,1,1,1764038,514,869370,12,12.28,58362.4525,1,0,304856,0,1
3,147,40,1,1,969976,735,477591,12,7.81,42907.57,0,4,273463,0,0
4,203,51,0,0,226580,821,688464,36,21.04,23147.69,0,17.5,152081,0,0
5,612,59,0,2,839160,477,146359,12,20.2,14660.29,0,17.5,55631,0,1
6,267,33,1,1,880150,839,999116,60,16.81,19451.12,1,0,582493,0,1
7,636,46,0,1,1434188,832,792597,48,17.03,19324.51,0,10,404620,0,1
8,383,26,0,0,1638899,728,510976,48,14.73,12213.39,1,0,373503,0,1
9,730,60,1,0,343540,351,819878,60,9.05,14901.28,0,4,173806,0,0
10,583,51,1,1,1462997,465,467670,36,8.11,14044.39,0,17.5,290216,0,1
11,489,42,1,1,1291066,789,270928,12,20.4,27183.11,1,0,193892,0,1
12,387,31,1,0,1413588,547,817323,60,10.76,15087.78,1,0,266336,0,1
13,313,43,0,1,809235,592,230899,24,13.7,10938.84,0,6,187131,0,1
14,273,26,0,0,1099176,703,480743,24,12.81,22596.92,1,0,415315,0,0
15,169,51,1,2,926505,799,217004,60,11.51,4033.02,1,0,115786,0,0
16,15,23,0,0,1802644,791,567746,36,14.94,18126.87,0,17.5,96478,0,0
17,192,22,0,1,1472643,632,788968,12,10.37,58362.4525,1,0,478813,0,1
18,228,53,1,1,1160746,837,976016,24,13.63,46210.29,1,0,19215,0,0
19,471,35,1,2,509628,583,660132,48,12.61,15486.97,0,7,309028,0,0
20,218,51,1,2,1907379,415,62290,48,13.27,1469.91,1,0,15963,0,1
21,559,64,1,1,445828,332,568985,60,17.42,11135.04,0,4,169673,0,0
22,432,22,1,2,999640,760,122704,24,13.3,5792.65,0,9,117841,0,0
23,227,29,0,1,853935,477,466579,24,11.86,21746.47,1,0,403418,0,0
24,98,63,0,2,1489352,338,323207,48,15.23,7758.99,0,17.5,224419,0,0
25,68,64,1,1,1803279,402,424161,60,15.4,8158.03,1,0,417938,0,0
26,609,46,1,0,1436110,314,373273,48,16.58,9065.87,0,17.5,50922,0,0
27,295,39,0,0,1230800,684,921037,48,19.57,22943.42,1,0,645751,0,1
28,671,27,0,1,1953054,615,133310,36,13.27,4194.45,1,0,31067,0,1
29,202,35,0,2,1413298,781,622426,12,7.88,55956.1,1,0,595856,0,1
30,239,58,0,1,1865221,463,338844,24,10.59,15613.65,1,0,211157,0,1
31,321,42,1,1,926903,314,211352,48,17.93,5192.65,1,0,175502,0,0
32,531,57,0,0,1268514,610,911868,36,12.2,28419.89,0,5,768298,0,1
33,693,43,0,2,1712703,760,804192,24,21.09,40574.84,0,17,798203,0,0
34,694,34,1,2,1255518,537,577600,48,8.25,13026.08,0,5,114452,0,1
35,611,41,1,2,296691,300,964419,60,8.12,17378.83,1,0,861464.5,0,1
36,473,37,0,0,1767705,716,808912,48,18.63,19991.92,0,17,592094,0,1
37,225,52,1,1,637736,312,207675,36,18.3,6824.43,1,0,13604,0,0
38,532,49,0,2,796063,749,347673,36,14.89,11095.6,0,8,157326,0,0
39,581,33,0,0,599961,547,120155,24,16.31,5823.01,1,0,62696,0,1
40,201,25,1,0,603998,533,489538,60,11.35,9085.01,1,0,291209,0,0
41,365,33,0,2,531156,499,806401,24,17.58,39506.93,0,17.5,38488,0,1
42,139,53,0,0,1750426,604,86990,36,16.67,2819.2,1,0,43321,0,1
43,264,62,0,0,1539379,767,58316,36,15.12,1864.82,1,0,35065,0,1
44,636,30,0,2,1470299,417,648160,36,18.74,21378.48,0,14,115560,0,0
45,282,59,0,1,1762488,725,906749,12,13.62,58362.4525,1,0,514254,0,1
46,341,36,1,1,419419,554,799393,24,8.34,36085.93,1,0,444707,0,0
47,343,51,0,2,825967,313,601387,36,16.51,19463.22,0,12,344562,0,0
48,159,37,1,1,374839,358,900999,60,20.39,18078.54,1,0,206119,0,1
49,348,56,1,0,325680,691,484747,24,7.85,21783.32,1,0,452194,0,0
50,591,56,1,2,406963,735,794680,36,20.64,26630.61,0,17.5,140320,0,1
51,543,30,1,1,1096529,849,99482,12,20.94,10026.13,1,0,21953,0,0
52,524,40,0,2,940590,816,451008,36,8.97,13651.76,1,0,83788,0,0
53,51,61,0,0,1592175,771,545885,60,14.96,10459.16,0,7,253145,0,1
54,120,31,0,1,1082486,325,970167,36,11.66,30091.35,0,3,506678,0,0
55,712,47,1,2,1222723,488,78467,12,21.07,7916.67,1,0,58208,0,1
56,251,35,1,0,1071227,613,933847,24,15.84,45073.68,0,17.5,329037,0,1
57,611,54,0,0,338391,333,973700,48,20.02,24346.56,1,0,795344,0,0
58,514,33,0,2,939056,544,291285,60,20.5,5849.97,1,0,159074,0,0
59,562,31,1,2,1647577,660,425825,48,18.75,10534.73,1,0,228138,0,0
60,123,32,1,2,733093,479,869389,12,18.49,58362.4525,1,0,189498,0,1
61,571,42,0,2,234556,396,582970,12,20,58297,0,9,129767,0,1
62,498,62,1,0,851708,814,243862,60,12.33,4565.5,1,0,189828,0,0
63,327,43,0,0,1758606,356,107113,24,20.46,5376.18,1,0,103149,0,0
64,391,65,1,0,1058519,336,150974,12,16.02,14596.67,1,0,120055,0,1
65,433,49,0,2,1964593,812,766688,24,20.31,38433.43,1,0,264699,0,1
66,595,57,0,0,866981,463,74208,60,7.81,1333.39,1,0,41129,0,1
67,626,27,1,2,1091830,305,905987,24,18.48,44725.56,1,0,705275,0,0
68,183,21,1,1,831989,786,788303,36,10.89,24281.92,1,0,459908,0,0
69,134,31,1,1,1655578,382,998838,36,15.43,32026.63,1,0,394888,0,0
70,171,31,1,2,1727246,512,358794,24,20.03,17944.18,1,0,260530,0,1
71,247,58,0,1,1132303,637,323277,24,8.31,14589.22,0,17.5,302337,0,0
72,585,54,1,0,673826,814,431665,48,11.68,10043.41,1,0,315184,0,1
73,384,65,0,2,981700,546,111576,24,11.62,5189.21,0,17.5,7302,0,0
74,409,49,1,0,972787,421,862260,60,13.43,16301.03,0,5,252451,0,1
75,439,60,0,2,744976,763,448262,24,9.64,20478.1,0,17.5,186698,0,0
76,717,45,0,2,597474,521,294295,48,9.43,6709.31,1,0,27224,0,0
77,682,28,1,2,915178,447,466552,12,11.13,43206.6,1,0,218579,0,0
78,115,30,1,1,324636,355,295973,36,8.21,8896.46,0,2,216325,0,1
79,231,40,0,1,1521967,683,204803,36,10.03,6259.58,0,17.5,133829,0,1
80,64,39,0,2,201965,500,419442,24,17.41,20519.45,0,17.5,133752,0,1
81,596,61,0,1,270951,478,987901,12,9.73,58362.4525,0,9,63680,0,1
82,599,46,0,2,1456242,808,298706,60,20.75,6011.46,0,17.5,213940,0,0
83,488,63,0,0,1962798,361,991887,60,11.38,18412.73,1,0,705364,0,1
84,419,23,0,2,937749,362,997624,12,11.8,58362.4525,0,3,201547,0,0
85,595,38,1,0,1918762,484,999067,36,11.08,30826.77,1,0,635939,0,1
86,129,65,0,2,859365,739,475633,60,12.56,8922.88,0,17.5,104552,0,1
87,317,56,0,1,884624,595,820801,48,16.35,19895.87,0,17.5,73016,0,1
88,576,40,0,2,566527,661,571958,12,10.62,52724.99,0,17.5,337897,0,1
89,465,26,0,0,979884,362,751612,24,12.5,35231.81,1,0,88326,0,1
90,128,52,0,1,1543747,525,813903,36,18.46,26781.93,0,17.5,747888,0,0
91,33,31,0,0,1649074,353,493252,36,9.78,15041.45,0,17.5,105389,0,1
92,483,39,1,2,1512756,415,887932,24,20.52,44588.99,0,4,150054,0,1
93,92,30,1,0,1273071,314,150193,12,12.82,14120.65,0,2,17279,0,1
94,558,33,0,2,1832593,529,458380,60,10.82,8466.28,1,0,32717,0,1
95,206,55,1,2,686580,778,469339,24,17,22880.28,1,0,354724,0,0
96,657,26,0,2,398921,490,865855,12,11.8,58362.4525,0,11,655229,0,1
97,133,27,0,1,1556008,530,620185,48,13.03,14604.06,1,0,618336,0,1
98,36,21,1,0,794961,383,666488,24,13.76,31591.53,1,0,339592,0,1
